implementation,n_repeats,array_size,array_distribution,n_threads,blocksize,avg_time
serial,5,1048576,uniform,0,0,0.155119
serial,5,1048576,gaussian,0,0,0.13665
serial,5,1048576,nearly_sorted,0,0,0.08448
serial,5,1048576,reversed,0,0,0.077724
serial,5,4194304,uniform,0,0,0.645236
serial,5,4194304,gaussian,0,0,0.578529
serial,5,4194304,nearly_sorted,0,0,0.361103
serial,5,4194304,reversed,0,0,0.32514
serial,5,16777216,uniform,0,0,2.767556
serial,5,16777216,gaussian,0,0,2.5235
serial,5,16777216,nearly_sorted,0,0,1.628796
serial,5,16777216,reversed,0,0,1.437996
serial,5,10000000,uniform,0,0,1.629954
serial,5,10000000,gaussian,0,0,1.498444
serial,5,10000000,nearly_sorted,0,0,0.934547
serial,5,10000000,reversed,0,0,0.834548
omp,5,1048576,uniform,1,0,0.151243
omp,5,1048576,uniform,2,0,0.080367
omp,5,1048576,uniform,4,0,0.059887
omp,5,1048576,uniform,8,0,0.03953
omp,5,1048576,uniform,16,0,0.033329
omp,5,1048576,gaussian,1,0,0.140741
omp,5,1048576,gaussian,2,0,0.071935
omp,5,1048576,gaussian,4,0,0.049969
omp,5,1048576,gaussian,8,0,0.035153
omp,5,1048576,gaussian,16,0,0.027142
omp,5,1048576,nearly_sorted,1,0,0.083833
omp,5,1048576,nearly_sorted,2,0,0.044026
omp,5,1048576,nearly_sorted,4,0,0.03381
omp,5,1048576,nearly_sorted,8,0,0.026127
omp,5,1048576,nearly_sorted,16,0,0.02325
omp,5,1048576,reversed,1,0,0.075481
omp,5,1048576,reversed,2,0,0.039251
omp,5,1048576,reversed,4,0,0.034791
omp,5,1048576,reversed,8,0,0.024099
omp,5,1048576,reversed,16,0,0.018402
omp,5,4194304,uniform,1,0,0.706422
omp,5,4194304,uniform,2,0,0.382593
omp,5,4194304,uniform,4,0,0.268648
omp,5,4194304,uniform,8,0,0.168111
omp,5,4194304,uniform,16,0,0.120824
omp,5,4194304,gaussian,1,0,0.588651
omp,5,4194304,gaussian,2,0,0.318725
omp,5,4194304,gaussian,4,0,0.224134
omp,5,4194304,gaussian,8,0,0.157996
omp,5,4194304,gaussian,16,0,0.110554
omp,5,4194304,nearly_sorted,1,0,0.374421
omp,5,4194304,nearly_sorted,2,0,0.201649
omp,5,4194304,nearly_sorted,4,0,0.150245
omp,5,4194304,nearly_sorted,8,0,0.109438
omp,5,4194304,nearly_sorted,16,0,0.082592
omp,5,4194304,reversed,1,0,0.357382
omp,5,4194304,reversed,2,0,0.194411
omp,5,4194304,reversed,4,0,0.138956
omp,5,4194304,reversed,8,0,0.094208
omp,5,4194304,reversed,16,0,0.075719
omp,5,16777216,uniform,1,0,2.815705
omp,5,16777216,uniform,2,0,1.455972
omp,5,16777216,uniform,4,0,1.005827
omp,5,16777216,uniform,8,0,0.733714
omp,5,16777216,uniform,16,0,0.486962
omp,5,16777216,gaussian,1,0,2.517291
omp,5,16777216,gaussian,2,0,1.367716
omp,5,16777216,gaussian,4,0,0.990434
omp,5,16777216,gaussian,8,0,0.657701
omp,5,16777216,gaussian,16,0,0.459369
omp,5,16777216,nearly_sorted,1,0,1.693661
omp,5,16777216,nearly_sorted,2,0,0.883095
omp,5,16777216,nearly_sorted,4,0,0.723096
omp,5,16777216,nearly_sorted,8,0,0.454446
omp,5,16777216,nearly_sorted,16,0,0.374312
omp,5,16777216,reversed,1,0,1.465533
omp,5,16777216,reversed,2,0,0.837318
omp,5,16777216,reversed,4,0,0.568533
omp,5,16777216,reversed,8,0,0.420475
omp,5,16777216,reversed,16,0,0.313805
omp,5,10000000,uniform,1,0,1.676554
omp,5,10000000,uniform,2,0,0.864404
omp,5,10000000,uniform,4,0,0.616469
omp,5,10000000,uniform,8,0,0.44453
omp,5,10000000,uniform,16,0,0.295598
omp,5,10000000,gaussian,1,0,1.506352
omp,5,10000000,gaussian,2,0,0.821394
omp,5,10000000,gaussian,4,0,0.57336
omp,5,10000000,gaussian,8,0,0.377116
omp,5,10000000,gaussian,16,0,0.274962
omp,5,10000000,nearly_sorted,1,0,1.01471
omp,5,10000000,nearly_sorted,2,0,0.524265
omp,5,10000000,nearly_sorted,4,0,0.380187
omp,5,10000000,nearly_sorted,8,0,0.25102
omp,5,10000000,nearly_sorted,16,0,0.207771
omp,5,10000000,reversed,1,0,0.860506
omp,5,10000000,reversed,2,0,0.464209
omp,5,10000000,reversed,4,0,0.350947
omp,5,10000000,reversed,8,0,0.261307
omp,5,10000000,reversed,16,0,0.185863
cuda,5,1048576,uniform,0,128,0.006079
cuda,5,1048576,uniform,0,256,0.005461
cuda,5,1048576,uniform,0,512,0.005564
cuda,5,1048576,gaussian,0,128,0.005639
cuda,5,1048576,gaussian,0,256,0.005212
cuda,5,1048576,gaussian,0,512,0.005497
cuda,5,1048576,nearly_sorted,0,128,0.005386
cuda,5,1048576,nearly_sorted,0,256,0.005271
cuda,5,1048576,nearly_sorted,0,512,0.005432
cuda,5,1048576,reversed,0,128,0.005064
cuda,5,1048576,reversed,0,256,0.005026
cuda,5,1048576,reversed,0,512,0.005422
cuda,5,4194304,uniform,0,128,0.023503
cuda,5,4194304,uniform,0,256,0.023191
cuda,5,4194304,uniform,0,512,0.023227
cuda,5,4194304,gaussian,0,128,0.021866
cuda,5,4194304,gaussian,0,256,0.021731
cuda,5,4194304,gaussian,0,512,0.021824
cuda,5,4194304,nearly_sorted,0,128,0.022853
cuda,5,4194304,nearly_sorted,0,256,0.022636
cuda,5,4194304,nearly_sorted,0,512,0.022712
cuda,5,4194304,reversed,0,128,0.021735
cuda,5,4194304,reversed,0,256,0.021706
cuda,5,4194304,reversed,0,512,0.021577
cuda,5,16777216,uniform,0,128,0.10376
cuda,5,16777216,uniform,0,256,0.103669
cuda,5,16777216,uniform,0,512,0.103701
cuda,5,16777216,gaussian,0,128,0.096819
cuda,5,16777216,gaussian,0,256,0.096487
cuda,5,16777216,gaussian,0,512,0.096667
cuda,5,16777216,nearly_sorted,0,128,0.104013
cuda,5,16777216,nearly_sorted,0,256,0.103434
cuda,5,16777216,nearly_sorted,0,512,0.103944
cuda,5,16777216,reversed,0,128,0.098798
cuda,5,16777216,reversed,0,256,0.09842
cuda,5,16777216,reversed,0,512,0.098879
cuda,5,10000000,uniform,0,128,0.088162
cuda,5,10000000,uniform,0,256,0.087835
cuda,5,10000000,uniform,0,512,0.08789
cuda,5,10000000,gaussian,0,128,0.08411
cuda,5,10000000,gaussian,0,256,0.083452
cuda,5,10000000,gaussian,0,512,0.084383
cuda,5,10000000,nearly_sorted,0,128,0.087853
cuda,5,10000000,nearly_sorted,0,256,0.087386
cuda,5,10000000,nearly_sorted,0,512,0.087665
cuda,5,10000000,reversed,0,128,0.085144
cuda,5,10000000,reversed,0,256,0.084533
cuda,5,10000000,reversed,0,512,0.084877
